Name,Organization,Project
Fan Chung,FreeBSD Project,Input method in FreeBSD virtual terminal
Shruti Chaturvedi,Continuous Delivery Foundation,CloudEvents Plugin for Jenkins: Consume and Emit CloudEvents
Xu Wang,Ceph,NEXT LEVEL AMQP
Wenhe Li,Chromium,Productionize XNNPACK Machine Learning Backend for Chrome OS
Debaditya Pal,Python Software Foundation,(Activeloop) Create an interactive onboarding environment for new users of Hub
Milind Thakur,TensorFlow,Generate TensorFlow Lite example for Natural Language Processing
Harjeet Singh,AOSSIE,P2P Messaging App
Dhairya Bahl,Synfig,Move ETL library code to synfig-core
imlk,openSUSE Project,Porting PRoot to Rust
ayush bansal-1,Libre Space Foundation,Polaris: Produce rich analysis reports
Naman Lakhwani,CNCF,"Automated, Granular TLS client support in Thanos"
Neelaksh Singh,freifunk,OpenWRT PPA
Rudraksh Aggarwal,Bench-Routes,Revamping the UI
Devin Ragotzy,Matrix.org,Ruma's Automated Checks
Ankit Hans,JBoss Community,Resolving problems with Apache Kafka examples using Charmil  Framework
harshadms,GNSS-SDR,Anti-spoofing Techniques for GNSS Receivers
Shikhar Vashistha,Boost C++ Libraries,Create new matrix and vector types
Jackson Campolattaro,CGAL Project,SIMD Optimized AABB Tree
Dylan Servilla,ScummVM,Director Engine
Aaradhya Saxena,CERN-HSF,TMVA Deep Learning Developments - Inference Code Generation for Batch Normalization
Aakash Chaudhary,NumFOCUS,[Data Retriever]: Support for Login/API
vivek vardhan adepu,Apertium,User friendly lexical training
Dhanuka Warusadura.,GNOME Foundation,libsecret: extend file backend to use TPM2 derived encryption keys
Abhinav Krishna C K,Matrix.org,First-Class Email Bridge
Ghulam Ghous,Rocket.Chat,Omnichannel Project: Live Chat Widget - Accessible Mode
YashRaj-2001,Oppia Foundation,Developer Options Menu
Aditya Siddheshwar,Processing Foundation,Addon Library Development - p5-teach.js
Arjun Garg,Postman,AsyncAPI Applications Relations Finder
Rohan Gupta,Global Alliance for Genomics and Health,vcf2fhir for Structural Variants
Muhammad Ehsan ul Haq,Machine Learning for Science (ML4SCI) Umbrella Organization,Background Estimation with Neural AutoRegressive Flows
Kartik Gupta-1,Rocket.Chat,Speech-to-Text
Mayur Shende,The R Project for Statistical Computing,Automated (AutoML) tool to clean univariate time series at microscales.
Tanya Prasad,AOSSIE,Peer-to-Peer Message Transfer
Marcos Tidball,Machine Learning for Science (ML4SCI) Umbrella Organization,Domain Adaptation for Decoding Dark Matter with Strong Gravitational Lensing
Divye Nayyar,Chapel,Go-Style Channels
Anshal Shukla,coala,Extending Support for newer versions of Python
Jebastin Nadar,OpenCV,8-bit quantization in DNN Module.
Eugene Lyapustin,Intel Video and Audio for Linux,Equirectangular Projection (ERP) and Cubemap Projection (CMP) conversion
Sundeep Chand,Python Software Foundation,User Story - Improvements and new features
Radesh Kumar,Oppia Foundation,Write Frontend Tests
Junduo Dong,PostgreSQL,pgagroal: Metrics and monitoring
Gagan Aryan,openastronomy,Reduce Memory Usage - Radis
Nnamdi,Mayor's Office of New Urban Mechanics (City of Boston),Boston.gov Solar Roof Potential
Guillem Felis,Liquid Galaxy project,Crop Doc
Aniket Ranjan,National Resource for Network Biology (NRNB),Enhancing the admin panel of openPIP
Shruti Sridhar,Debian,Quality Assurance and Continuous Integration for Applications in Life Sciences and Medicine
Chirag Kasat,PostgreSQL,Developing Testing Harness For PGWEB
Anis Ismail,Machine Learning for Science (ML4SCI) Umbrella Organization,End-to-End Deep Learning Regression for Measurements with the CMS Experiment
Tanmay Chavan,KDE Community,Implementing an efficient algorithm to find Intersection of Bezier curves
ankiitgupta7,Red Hen Lab,Simulating Multimodal Communication in Vervet Monkeys with Braitenberg Vehicles
Pinku Deb Nath,MediaPipe,Build an open-source realtime web video effects app
Caleb Herbel,The Apache Software Foundation,Dynamic Partitioning for Interval Joins in Asterix Database
Yash Bhambhu,CCExtractor Development,Animating a poor man [PMR-III]
Arsh Pratap,ArduPilot,Native ROS2 support
Callum Rollo,Integrated Ocean Observing System (IOOS),erdappy-griddap: Accessing gridded oceanographic data in near real time
eppisai,apertus° Association,AXIOM Remote: Firmware Improvement And Extension
satbws,VideoLAN,VLC macOS interface redesign
Amanjot Singh,BRL-CAD,Open Geometry Viewer(OGV)
Ybrahin Martinez,Python Software Foundation,(PyAr) PyZombies
Sanchita Singh,XWiki,Elastic Compute Cloud-based Amazon Machine Image for XWiki
Aryan Shridhar,Zulip,Enhance Recent topic view with Multiselect Dropdown List Widget And Implement Reusable Widgets
Mithil,Liquid Galaxy project,Liquid Galaxy Stellarium
Riccardo Mancini,The Linux Foundation,Multi-threading in perf
Nishchal Singi,"Department of Biomedical Informatics (BMI), Emory University School of Medicine",A frontend for Niffler DICOM framework for machine learning pipelines and processing workflows
Yemdjih Kaze Nasser,The Apache Software Foundation,Machine Learning Credit Scorecard PHASE 4
Virajkumar Patel,"Department of Biomedical Informatics (BMI), Emory University School of Medicine",Tensorflow GUI
Zeyad Gouda,CRIU,Use eBPF to lock/unlock the network
Abhay Garg,Oppia Foundation,GSoC 2021 Proposal -- Introduce Support for Displaying Copyright Licenses (Abhay Garg)
Niklas Muennighoff,DeepPavlov,TripPy + DeepPavlov
Anna Bogdanova,Python Software Foundation,Extend CSS Selectors Level 4 Support in cssselect
Aman Dwivedi,FOSSology,Adding React Library to new UI
Kensei Nakada,CNCF,web-based simulator for scheduler behaviour (Project: Kubernetes)
Jeffrey Paul,openastronomy,3D Plotting
Rakshit P,Pharo Consortium,Matrix State of the Art
Alejandro Fernández,RoboComp,An object detection component for LearnBlock
nakuldx,coala,corobo Enhancement Project
Chuyang Chen,The LLVM Compiler Infrastructure,Integrate Enzyme into Rust to Provide High-performance Differentiation in Rust
aniket agarwalla,CGAL Project,Moving Least Squares for point set smoothing and differential properties estimation
Alluri Harshit Varma,The Terasology Foundation,Quality Improvements for Light & Shadow
James Culver,Pidgin Instant Messenger,New Release
Karan Singh,vitrivr,Vitrivr Reads
qlin,International Catrobat Association,Pocket Code for Android: HMS API Machine Learning and AI support
Aditi Verma,OpenMined,Integrating NumPy into PySyft
Sinan Gençoğlu,Machine Learning for Science (ML4SCI) Umbrella Organization,Background Estimation with Neural Autoregressive Flows Proposal
Akash Dhiman,Zulip,Work on enhancing Zulip's mobile experience.
Bhuvaneshwar Vemula,Godot Engine,Command Palette
Nicholas Mancuso,Checkstyle,Upgrade Java Grammar from ANTLR2 to ANTLR4
Emma Bastås,Elm Tooling,Integrating performance improvements from the Elm compiler into elm-format
Pranav Saxena,OWASP Foundation,Implement Retest Functionality
Yasharth Dubey,The Palisadoes Foundation,The Multisite project
Shehjad Khan,TensorFlow,TensorFlow Lite - Natural Language Processing Example Generation
Archit Rungta,OpenCV,OpenCV bindings for Julia
Nabeel Danish,The ENIGMA Team,Polygon Based Collision Detection System
Harshit Chopra,Continuous Delivery Foundation,"Git credentials binding for sh, bat, and powershell"
Saloni Goyal,Haiku,Coding style checker bot for Gerrit
Arsh Sharma,CNCF,Improve the usability of cert-manager on multiple cloud providers
Tarun Moses Akumalla,SPDX,RDF Writer for Golang
KUMAR SHIVAM,Joomla!,Implement and improve several accessibility functions in Joomla! Keyboard navigation
Amr Elsersy,Open Robotics,Machine Learning Extension to Ignition Gazebo
Divyasheel,The Linux Foundation,GSOC 2021 Proposal - GUI for listing and managing available IPP services
Roberto David Aleman,AerospaceResearch.net,Aerospaces sats
Mrigank Anand,OWASP Foundation,Extending functionalities and Re-Design WebUI Graphs
David Ayotte,SageMath,Implementation of the graded ring of quasimodular forms
Ujjwal Agarwal,SPDX,JSON Support for Golang libraries
Georgios Giannakoulias,GFOSS - Open Technology Alliance,Development of a DIY robot kit for educators
Atharva Raykar,Git,Finish converting submodule to builtin
unsuitable001,Dart,Building a Cronet-based HTTP package in Dart
Aditya Kane,TensorFlow,Implement and publish state-of-the-art ML models in TensorFlow 2 : ResNet-RS and EfficientNetV2
Ahmed-1,NumFOCUS,PyTorch-Ignite: Development of a Higher-level API
Isabel Lima,Swift,Shared Storage for Property Wrappers
Deepak Singh Rathore,LabLua,Typed API for LuaRocks
Julian Komaromy,CGAL Project,Mesh Decimation using Probabilistic Quadrics
Adam Li,Python Software Foundation,An Electrophysiology Connectivity Package in the MNE Environment
a-yyg,ScummVM,SAGA2 engine
Shailesh Kanojiya,Wikimedia Foundation,GSOC - Create cypress tests for wikipedia-preview
Mahanaz Atiqullah,Swift,"A ""Bite-Sized"" BitArray"
Nasir Hemed,VideoLAN,Metadata extraction using dav1d
Aaryan Porwal,Ceph,Visual Regression Testing of Ceph-Dashboard
Benura Abeywardena,The Apache Software Foundation,Improve Robustness by fixing Issues / Feature Requests from the backlog
Kathrin Elmenhorst,Digital Impact Alliance (DIAL) at UN Foundation,Measuring QUIC and TLS censorship with OONI Probe
Bayram Çiçek,LibreOffice,100 Paper Cuts
Venkata Shravan,CCExtractor Development,Migrating sample-platform from KVM to Google Cloud.
Ritik Jain,AOSSIE,Peer to Peer Message Transfer
The_DarkFire_,ReactOS,implementation of SMP HALs
Sarthak Singh,SCoRe Lab,Scan8
George Mitenkov,The LLVM Compiler Infrastructure,Fixing fundamental issues in LLVM IR: Introducing a byte type to solve load type punning
Sahil,Python Software Foundation,Improve CVE database structure and tracking of multiple reports
Xinyu Wang,Ruby,Optimize Kernel::require API for Ruby 3
Kunwar Maheep Singh,Open Bioinformatics Foundation,Implementations of AVX-512 functions
Hariom Chaturvedi,The Honeynet Project,PcapMonkey Improvements
Ayush Shrivastava,freifunk,Irdest Android Client
Alessandro Cheli,The Julia Language,Applied equality saturation with Metatheory.jl
infaz,The Apache Software Foundation,Support JOOQ API within gora-sql module
Shubham Awasthi,"Department of Biomedical Informatics (BMI), Emory University School of Medicine",A Frontend For Loopsim Framework To Model Workflows With Closed Loops
Himanshi Kalra,Blender Foundation,Regression Testing of Geometry Nodes
Victor Hugo Cano Gil,Open Chemistry,Extended Interoperability of ChemTools and Quantum Chemistry Software
TinTin,OWASP Foundation,Revamping the Juice Shop Score Board
Dhanmoni Nath,Open Bioinformatics Foundation,Enabling and prototyping JavaScript visualizations in the Qt-based viewer TOPPView (OpenMS).
Manav Agarwal,Django Software Foundation,Adapt schema editors to operate from model states instead of fake rendered models
Octávio H. Müller Barrio,Liquid Galaxy project,Liquid Galaxy Image Satellite Visualizer
Parth Pant,Inkscape,On-Canvas Alignment Guides
Vipul Chhabra,Global Alliance for Genomics and Health,Brokering Continuous Delivery through the ELIXIR Cloud service registry
Noah Liguori-Bills,National Resource for Network Biology (NRNB),Expand ModelBricks.org and VCell API
Swapnal Shahil,SCoRe Lab,SCoRe Lab Open MF Proposal
Jenniline Ebai,CiviCRM LLC,Activity Cull
Baidyanath Kundu,CERN-HSF,Utilize second order derivatives from Clad in ROOT
D R Siddhartha,Python Software Foundation,Scrapy: Feed Enhancements
Pratyush Tiwari,Pitivi,Cut Mode
zwerg4,International Catrobat Association,Catrobat iOS Team proposal for Ticket: Support for Catrobat Language version 0.994 - 0.99992
Sophia He,Machine Learning for Science (ML4SCI) Umbrella Organization,Uncovering the Enigma of Type-Ia Supernovae: Thermonuclear Supernova Classification via their Nuclear Signatures
Piotrek Brzeziński,Pitivi,"""Focus on the music"" - music-oriented editing for everyone"
Anubhav Singh-1,VideoLAN,VLC iOS UI update
Manas Gupta,The LLVM Compiler Infrastructure,Clang Static Analyzer: Constraint Solver Improvements
Rasswanth S,OpenMined,Implement FALCON: Honest-Majority Maliciously Secure Framework for Private Deep Learning in SyMPC
Sumitra Saksham,The Palisadoes Foundation,Multilingual Support in the App
Mrinalkanti Roy,Pharo Consortium,3D CAD scripting using Smalltalk
Vivek Agrawal,Learning Equality,Revolutionizing the Tasks API
Pranav Mahajan,INCF,A Python toolbox for computing high-order information in neuroimaging
M. VIGNESH VENKATARAMAN,Open Chemistry,JaxModel: A high level API for building purely functional models suitable for Molecular Predictions & Simulations
Samarjeet Singh,Navidrome,Infinite Scroll
Purvansh Singh,Hydra Ecosystem,Banking Service with Open Risk and Hydra Ecosystem
Aman  Verma,CERN-HSF,Implementation of Physical Shape Function
jaxmatrix,Open Chemistry,3Dmol UI Design and Improved Controls
Yash,SCoRe Lab,Webiu
S.M Mukarram Nainar,FFmpeg,TX AArch64 Doubles SIMD Assembly
Haris Zafeiropoulos,GeomScale,From DNA sequences to metabolic interactions: building a pipeline to extract key metabolic processes
Tanmay Singal,vitrivr,Implement IIIF read in Cineast
Rishab Mallick,Genome Assembly and Annotation,Extract important information from scientific papers
Nabeel Merchant,Learning Equality,IMS QTI 2.2 DEVELOPMENT PROPOSAL
Tim Ramlot,CNCF,'kubectl cert-manager install': A CLI plugin to make it easy to install and verify the installation of cert-manager
Mr Jake D Watson,OpenCV,Create robust visual fiducial tags
strukovas,Machine Learning for Science (ML4SCI) Umbrella Organization,Machine Learning Model for the Planetary Albedo
Ganesh Pawar,Zulip,"Improve tooling, integrations, and testing infrastructure of Zulip"
Omkar  Bhilare,BeagleBoard.org Foundation,BeagleWire Software
Matan,Ceph,GOING NATS
Rupal Sharma,"Center for Research in Open Source Software, UC Santa Cruz",Path finding algorithm using OpenCV
Aishwary Saxena,Oppia Foundation,Write Frontend Tests
Siddhant Sehgal,Joplin,Paste Special Proposal
Isaiah Blanks,The Terasology Foundation,Destination: Sol World-Gen Modularization
gupt4j1,OWASP Foundation,Improvements In WebUI for Nettacker
Mohammad Arshad,CCExtractor Development,Deluge Mobile client
Ninad Jangle,Free and Open Source Silicon Foundation,Block Based Circuit Design
Ahmed Moorsy,MediaPipe,Arabic Sign Language Recognition
Michal Lenc,The Apache Software Foundation,NuttX Support for Rapid Control Applications Development with pysimCoder
Bikram Biswas-1,The Apache Software Foundation,Multiple SSH key holding on CloudStack
jlmeirelles,Open Genome Informatics,Single-Cell pathway annotation pipeline
Halil İbrahim Ceylan,CNCF,Buildpacks Lifecycle Prepare Phase
Vinayak Sankar,apertus° Association,Remote Test System for AXIOM Remote
luc65r,FFmpeg,FFmpeg x86-64 assembly FFT
Tamara David,International Catrobat Association,Advancement through project merge
Paulette Vazquez,Mayor's Office of New Urban Mechanics (City of Boston),Geospatial Tools for Post-Disaster Housing Analysis
ApratimRanChak,Digital Impact Alliance (DIAL) at UN Foundation,Alexa Top Sites Captcha and Tor Block Monitoring
Rachana Podaralla,Inkscape,On Canvas Marker Editing
Nickil Maveli,Red Hen Lab,Detecting Joint Meaning Construal by Language and Gesture
Veenit Kumar,OSGeo - Open Source Geospatial Foundation,Implement Edge Coloring Algorithm for pgRouting by the Boost Graph Library.
Rishabh Sanjay,NumFOCUS,Adding New Plots to ArviZ
Sarthak Saxena,Postman,API Conversion API
Prateek Ganguli,Debian,Android SDK tools in Debian
Mikhail Nitenko,FFmpeg,H264/HEVC ARM64 10-bit assembly
taylorzhancher,ScummVM,Enhance Accessibility of More ScummVM Engines by Text To Speech (TTS)
Siddharth Bhatia,The Julia Language,Multi-Agent Reinforcement Learning Environments in GridWorlds.jl
Fang,The Apache Software Foundation,APISIX ingress controller integration with Knative Serving
Aviral Jain,CloudCV,Monitoring setup for EvalAI
Sang Woo Bae,The Apache Software Foundation,Apache CloudStack - Synchronization of network devices on newly added hosts for Persistent Networks
Dhananjay Purohit,Orcasound,Improve site architecture and add features to the Orcamap
Arash Ahmadian,SymbiFlow,Capturing an abstracted model of Xilinx Artix7 using VTR
Siyi Wei,The R Project for Statistical Computing,Fairness extension for mlr3
Savish Bedi,CloudCV,Static code upload challenge evaluation and enhancements in GitHub based challenge creation
Abhay Raj Singh,libvirt,libnbd/nbdcopy acceleration using io_uring
Rahul Chauhan-1,CERN-HSF,Rucio and CS3API to enable data management for the ScienceMesh cloud
Omkar Prabhune,Apertium,Apertium Browser Plugin
Purhan Kaushik,OpenWISP,Revamp Netengine and add its SNMP capability to OpenWISP Monitoring
Rishikesh Vanarse,"Center for Research in Open Source Software, UC Santa Cruz",IMU Calibration & Self-Correction Algorithm for Open Source Autonomous Vehicle Controller
Avishrant Sharma,AboutCode,Integration of alternate Code Analysis Tools and Asynchronous Scan Enhancements.
Bhaarat Kumar Khatri,Wikimedia Foundation,Update the front-page of Wikimedia projects
Atharva Nimbalkar,Open Bioinformatics Foundation,Implementation of NEON functions (SIMDe)
Aner Lucero,Haskell.org,Enhanced figure support in pandoc
Mohammed Jeeshan Sheikh,NumFOCUS,SciML : Discretizations of partial differential equations
Aditya Kasibhatla,RoboComp,Graphical-User Interface for affective human-robot interactions
Sayan Nath,TensorFlow,💻 GSoC 2021: TensorFlow Lite Proposal
Vishv Kakadiya,Cuneiform Digital Library Initiative (CDLI),Transliterations editor and API
Yassmin Hesham,RoboComp,Simultaneous path planning and following using Model Predictive Control (SPAF)
lvrcek,Open Genome Informatics,Reactome Pathway Embeddings
rgo3,Cilium,A Feature Probe API for cilium/ebpf
Rishabh Ranjan Jha,Joomla!,Feature enhancement project of Joomla
Aniket Giri,OSGeo - Open Source Geospatial Foundation,Implement 3D scene visualization support using Potree and integrate with MapMint
María Belén,Metasploit,Retain active status of authentication tokens
Ajay-1,The R Project for Statistical Computing,gghexbin: An R package to enable the creation of high quality hexagonally binned graphs that can exploit all of ggplot2’s functionality
Arka,JdeRobot - Universidad Rey Juan Carlos,JdeRobot - Universidad Rey Juan Carlos GSoC 2021 Proposal
Mohammad Warid,Public Lab,spectral-workbench.js JS/Rails integration (Public Lab)
Ank,Genome Assembly and Annotation,An orchestration system for MGnify running on distributed heterogeneous compute clusters
Isaac Miti,Open Bioinformatics Foundation,Design and implementation of Code is Science front-end using ReactJS
William Kimmerer,The Julia Language,Differentiable GraphBLAS
Sachin Som,SCoRe Lab,OpenMF-GSOC'21 Proposal-Sachin Som
Yatharth Vyas,Joomla!,Yatharth Vyas' Proposal for Joomla
Stefanos Vlachos,JBoss Community,EAT - EAP Additional Testsuite
Thomas Huber,The LLVM Compiler Infrastructure,OpenACC Diagnostics from the OpenMP Runtime
Aman Godara,Fortran-lang,GSoC Proposal for Fortran-lang
Meghal Bisht,Digital Impact Alliance (DIAL) at UN Foundation,Eventyay Open Event : Refractor UI using React with Next
Shubhank Saxena,GFOSS - Open Technology Alliance,"MediaCMS - modern, fully featured video and media CMS"
antelk,INCF,Support of the simulation-based inference with the model fitting toolbox
Aryan Kenchappagol,OSGeo - Open Source Geospatial Foundation,Implement 3D scene visualization support using Potree and integrate with MapMint
federikovi,Open Bioinformatics Foundation,Developing WellcomeML further for the visualisation of academic research data
Zhuoran He,CNCF,TLA+ Spec for Async Commit
Archisman Dey,BeagleBoard.org Foundation,Improvemens to simpPRU
Sankalp (codesankalp),OpenWISP,Bring professional efficiency to OpenWISP WiFi Login Pages
Timo Rantakaulio,Apertium,"Finnish, Olonets-Karelian and Karelian lexicon development"
Viet Hoang,INCF,LORIS Codebase Maintenance and Automated Testing
Sundaram Dubey,Digital Impact Alliance (DIAL) at UN Foundation,Reimplementing Open Event Frontend in React
Yu Kimura,Ruby,Develope benchmark tool specialized in real-world rails application
Nishtha Bodani,CCExtractor Development,Beacon
Purva Thakre,NumFOCUS,Quantum Gate Decomposition for QuTip
Heshan Andrews,OpenMRS,Export and Import Feature for the OMRS Reporting Module
Krishita Jain,Oppia Foundation,Redesigning and Updating the Learner Dashboard Page.
Hritik Vijay,AboutCode,VulnerableCode importers refactoring and addition
Sidharth Shambu,LibreCube Initiative,CCSDS Space Packet / USLDP Transport Layer for Python and MicroPython
Zixuan Li,Zulip,Improving Zulip Bots and Integrations.
Ali Sedaghati,The LLVM Compiler Infrastructure,Learning Loop Transformation Heuristics
Hardik Thami,MIT App Inventor,Implement a CheckBox Group in App Inventor
Shoaib Ahmed Siddiqui,CERN-HSF,3D Convolutions for GPU
Alexander Galarraga,SageMath,Dynamics Algorithmic Improvements
Vuong Ho,OpenStreetMap,Opening hours tag evaluator
Harshita Mangla,Python Software Foundation,User Story - Improvements and New Features
Alan Cueva,MariaDB Foundation,Custom formatting of strings in MariaDB queries
Ethan Long,Plan 9 Foundation,nIME
Kabir,CGAL Project,Finalizing the 2D Regularized Boolean Set Operations Demo
Ajit Mujumdar,Public Lab,Translation System Refinement
Praveen Sahu,NumFOCUS,CuPy: Extending CuPy coverage of SciPy functions
nrumeshp,The Apache Software Foundation,COMDEV-412 Apache DolphinScheduler Parameter coverage
Alejandro Rusi,GitLab,Courseware as Code Enablement
Saransh Chopra,NumFOCUS,Automated Twitter bot to run PyBaMM Simulations
Toshiki Maekawa,The LLVM Compiler Infrastructure,Utilize LoopNest Pass
Evan Lee,Halide,Assessing the Performance Effects of Adding New Synthesized Rewrite Rules to Halide
Saswata Mukherjee,CNCF,Smart automation for project documentation and website
Stelios Malamas,Samba,Add machine-readable debug & stats /proc file
Shubhamjain,LibreOffice,Write missing unit tests
Mehdi Mabrouki,TensorFlow,"Suggest, implement and publish state-of-the-art ML models in TensorFlow 2"
Kush Kothari,NumFOCUS,[Data Retriever] Adding Spatial Dataset Support - Kush Kothari
Hemanth Krishna,CNCF,[Litmus Portal] Authentication Module Refactor and OAuth Implementation
Akhil J Nair,STE||AR Group,Adapting algorithms to C++ 20 and Ranges TS
Albert Morea,Liquid Galaxy project,Orbit Satellite Visualizer for Liquid Galaxy
chazuttu,Python Software Foundation,PyAfipWs: Library for  Developers (PyAr)
Leo,Gentoo Foundation,Expanded and Enhanced Big Data Infrastructure on Gentoo
Shubham Kumar-1,GitLab,Geo Team Proposal: Improvements to backup and restore process
Shreya Agarwal,coala,Result Reporter Tool for Bears
sary nasser,LibreOffice,Bringing the context to the translators by a magic gate .
Tobias Soppa,Chromium,Implement ClosedTabCache
Darshpreet Singh,LibreHealth,Development an Android Mobile Application For Newborn Clinical Decision Support
Naoto Ono,Ruby,Tests for debugger
Claudio Cambra,KDE Community,Plasma Mobile - Akonadi Calendar
Julius Marozas,Haskell.org,Gradually Typed Hasktorch
Nanubala Gnana Sai,mlpack,A Framework for Multiobjective Optimizers
HanwGeek,OSGeo - Open Source Geospatial Foundation,Implement sorting methods for PostGIS data types before building GiST index
Manikya,The Julia Language,FastAI.jl Development
Aditya Jeppu,Blender Foundation,Video Sequence Editor Improvements - Individual strip previews and modification indicators
Abhi Kulshrestha,SCoRe Lab,Ask SCORE - Community App
Fruityloops,International Catrobat Association,Application for Embroidery Robot Programming using Pocket Code IDE
Estefania Barreto-Ojeda,MDAnalysis,MDAnalysis module to calculate membrane curvature
Eesha Arif,Oppia Foundation,Improve Frontend Type System
Khaled Emara,FreeBSD Project,XFS FUSE FreeBSD Port
Pulak Malhotra,Rizin,Heap Viewer
Ritik Kumar Srivastava,The Palisadoes Foundation,GSoC’ 21: The Palisadoes Foundation
Matthew Filipovich,CERN-HSF,Modern Plotting Machinery for the Large Hadron Collider's Monte Carlo Event Analysis Tool
Nghia Duong,KDE Community,Faces engine Improvements
Minshuo Chen,The R Project for Statistical Computing,Efficient and Scalable LP-based Multi-Stage Decision Making in R
Xiaojie Yi,Haiku,XFS Filesystem Support
Matías Ceferino Demarchi,Python Software Foundation,OpenLex: Migration to Python 3 and Py4Web
ankit2001,OWASP Foundation,Bug Logging Tool
Harshal Dupare,NumFOCUS,Adding Interactive Notebooks for Algorithms Implemented in NetworkX
arpitvaghela,OpenMined,Integrating Pandas into Syft
Fabian Schempp,Blender Foundation,Porting popular modifiers to Geometry Nodes
Nikhil Agarwal,Oppia Foundation,GSoC 2021 Proposal -- Implement schema validators for the handler params  (Nikhil Agarwal)
Umang Taneja,SPDX,MIGRATE SPDX ONLINE TOOLS TO DJANGO 3
Eshan Arora,Python Software Foundation,Automatic Generation of schema from directory
Nadezda Lutovinova,The Linux Foundation,Finding bugs related to memory errors in Linux Kernel and improving environment model specifications for static verification
Gangavarapu Praneeth,Oppia Foundation,Write Frontend Tests
Khanh-Tung Nguyen-Ba,NumFOCUS,GSOC Stan Proposal - Bayesian Computation Benchmark
Divyanshu Madan,Point Cloud Library,Enhancing and extending clang-bind
Hannes,Red Hen Lab,"Utilizing Speech-to-Speech Translation to Facilitate a Multilingual Text, Audio, and Video Message Board and Database"
Arpan Parikh,NumFOCUS,Improve Metric Module
Arijit Kundu,GNOME Foundation,Faces of GNOME
Rishabh Vasudevan,JBoss Community,"""Hey Rodney"" Wake Word Detection"
Shivanshu Tyagi,OpenCV,Speech recognition using OpenCV Audio IO module
He Yang,ReactOS,ReactOS implement iernonce.dll for RunOnceEx
Arkajyoti Bhattacharjee,The R Project for Statistical Computing,Improvements to nls()
Anant Thazhemadam,The Julia Language,Tight-Binding Atomic Graph Networks - Orbital Graph Convolution Neural Network
Manan Jethwani,Kiwix,New library catalogue UI for Kiwix-serve
Prajna,Open Genome Informatics,Bioinformatics with Jupyter Notebooks
Harsh Kumar,KDE Community,Adding new activities
Sajag Swami,Python Software Foundation,FURY: Ribbon and Molecular Surface Representations for Proteins
Ziwei XU,DBpedia,Towards a neural extraction framework
Liangda Wang,The Apache Software Foundation,Apache ShardingSphere - Proofread the Oracle DDL/TCL SQL Definitions
Akshit Kushwaha,LibreOffice,Tests for the VCL graphics backend
visvesh subramanian,GNOME Foundation,Redesigning Health's MainView
fwcd,Swift,Inlay type hints for SourceKit-LSP
Saubhik Mukherjee,The Linux Foundation,LSB: Analysis & Fixing of Race Condition Warnings in the Linux Kernel
Harshitha S,Free and Open Source Silicon Foundation,Formal Verification of OpenRISC’s Mor1kx processor using yosys
